task,reward,seed,batches,final,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,affinity,13,150,1,200,0.5337847193099999,0.58436909869,0.31,0.64,0.9252768361,0.39149211678999996,0.9252768361
cognate,affinity,14,0,0,60,0.5491881951666667,0.5689656228333332,0.2833333333333333,0.6666666666666666,0.9262585469833334,0.3770703518166666,0.9262585469833334
cognate,affinity,14,25,0,60,0.5146776332499999,0.60347618475,0.31666666666666665,0.6333333333333333,0.9179208581166666,0.40324322486666664,0.9179208581166666
cognate,affinity,14,50,0,60,0.44854260465000007,0.6696112133499998,0.43333333333333335,0.5333333333333333,0.9342838117833334,0.4857412071333333,0.9342838117833334
cognate,affinity,14,75,0,60,0.47206428628333336,0.6460895317166666,0.4166666666666667,0.55,0.9302851843333333,0.45822089804999994,0.9302851843333333
cognate,affinity,14,100,0,60,0.44808645758333326,0.6700673604166667,0.4,0.5833333333333334,0.9276307805999999,0.47954432301666666,0.9276307805999999
cognate,affinity,14,125,0,60,0.47572685375,0.6424269642499999,0.4166666666666667,0.55,0.9167112898166666,0.4409844360666667,0.9167112898166666
cognate,affinity,14,150,0,60,0.5165491771333334,0.6016046408666665,0.35,0.6166666666666667,0.9435051486500001,0.4269559715166667,0.9435051486500001
cognate,affinity,14,0,1,200,0.519133612355,0.5990202056449999,0.33,0.615,0.91850602007,0.399372407715,0.91850602007
cognate,affinity,14,150,1,200,0.453299275675,0.6648545423249999,0.455,0.52,0.9248527174700001,0.471553441795,0.9248527174700001
cognate,affinity,15,0,0,60,0.5397131481666667,0.5784406698333332,0.25,0.6833333333333333,0.9041128217666666,0.3643996736,0.9041128217666666
cognate,affinity,15,25,0,60,0.5109833329666668,0.6071704850333332,0.3,0.6166666666666667,0.9121619909500001,0.40117865798333335,0.9121619909500001
cognate,affinity,15,50,0,60,0.44860625519999997,0.6695475627999999,0.43333333333333335,0.5,0.9219838451,0.47337758989999995,0.9219838451
cognate,affinity,15,75,0,60,0.4494736187,0.6686801992999999,0.4,0.55,0.9281668293166667,0.47869321061666653,0.9281668293166667
cognate,affinity,15,100,0,60,0.5392242181166667,0.5789295998833333,0.35,0.6333333333333333,0.9444443845666668,0.40522016644999986,0.9444443845666668
cognate,affinity,15,125,0,60,0.5307220317333334,0.5874317862666665,0.2833333333333333,0.6833333333333333,0.93363363425,0.4029116025166666,0.93363363425
cognate,affinity,15,150,0,60,0.5305694455000001,0.5875843724999998,0.35,0.6,0.9348975879666666,0.4043281424666666,0.9348975879666666
cognate,affinity,15,0,1,200,0.506263110095,0.6118907079049999,0.33,0.6,0.9098893187199999,0.4036262086249999,0.9098893187199999
cognate,affinity,15,150,1,200,0.453310950835,0.664842867165,0.435,0.54,0.9340302253499999,0.480719274515,0.9340302253499999
cognate,affinity,2,0,0,60,0.47729775015000003,0.6408560678499999,0.38333333333333336,0.5833333333333334,0.9188937069333335,0.4415959567833333,0.9188937069333335
cognate,affinity,2,25,0,60,0.5383875826666666,0.5797662353333333,0.31666666666666665,0.65,0.9224959125333334,0.38410832986666665,0.9224959125333334
cognate,affinity,2,50,0,60,0.5633055672666668,0.5548482507333331,0.2833333333333333,0.6333333333333333,0.9188380438166668,0.3555324765499999,0.9188380438166668
cognate,affinity,2,75,0,60,0.4889689645166667,0.6291848534833332,0.4,0.5833333333333334,0.9336402870333331,0.44467132251666663,0.9336402870333331
cognate,affinity,2,100,0,60,0.5808938687166667,0.5372599492833332,0.25,0.7,0.9408410197666667,0.3599471510499999,0.9408410197666667
cognate,affinity,2,125,0,60,0.5522041292,0.5659496888,0.31666666666666665,0.6333333333333333,0.9340126505166666,0.3818085213166666,0.9340126505166666
cognate,affinity,2,150,0,60,0.5035277137,0.6146261042999999,0.38333333333333336,0.5666666666666667,0.9263280284666667,0.4228003147666667,0.9263280284666667
cognate,affinity,2,0,1,200,0.47734911618,0.6408047018199999,0.405,0.55,0.928782139665,0.45143302348500003,0.928782139665
cognate,affinity,2,150,1,200,0.46802947336500006,0.6501243446349998,0.41,0.545,0.930883531115,0.46285405775,0.930883531115
cognate,affinity,3,0,0,60,0.4608009535833333,0.6573528644166666,0.4166666666666667,0.55,0.9359203813666669,0.4751194277833333,0.9359203813666669
cognate,affinity,3,25,0,60,0.4086985054666666,0.7094553125333334,0.5,0.4666666666666667,0.9253020090999999,0.5166035036333333,0.9253020090999999
cognate,affinity,3,50,0,60,0.4741408852,0.6440129327999999,0.3333333333333333,0.5833333333333334,0.9131400096166667,0.4389991244166666,0.9131400096166667
cognate,affinity,3,75,0,60,0.4381158222,0.6800379957999999,0.4166666666666667,0.5666666666666667,0.9272352863666667,0.4891194641666667,0.9272352863666667
cognate,affinity,3,100,0,60,0.44562827498333335,0.6725255430166666,0.38333333333333336,0.5166666666666667,0.9149876163833334,0.46935934139999996,0.9149876163833334
cognate,affinity,3,125,0,60,0.5779527084833334,0.5402011095166666,0.2833333333333333,0.6833333333333333,0.9256119939833334,0.34765928549999997,0.9256119939833334
cognate,affinity,3,150,0,60,0.5517004843833333,0.5664533336166666,0.3333333333333333,0.6166666666666667,0.9313100278999998,0.37960954351666665,0.9313100278999998
cognate,affinity,3,0,1,200,0.50127399783,0.6168798201699999,0.35,0.57,0.91094664707,0.4096726492400001,0.91094664707
cognate,affinity,3,150,1,200,0.55240584229,0.5657479757099999,0.305,0.645,0.9349427739649999,0.382536931675,0.9349427739649999
cognate,affinity,4,0,0,60,0.48570125796666674,0.6324525600333332,0.36666666666666664,0.6166666666666667,0.9343351355166667,0.44863387755,0.9343351355166667
cognate,affinity,4,25,0,60,0.4649663966666667,0.6531874213333332,0.4,0.6,0.9317589981333333,0.4667926014666666,0.9317589981333333
