aggregation,auc,auc_hi,auc_lo,baseline_auc,flank,mode,n_chunks,rho_off,rho_on,scorer,tokens,total_nt,transform
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,8640,recursive,6,-0.00358770126004312,-0.21401449864527766,markov5,527,17562,shuffle_mono
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,8640,recursive,6,-0.00358770126004312,-0.21401449864527766,markov5,527,17562,shuffle_mono
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,11520,recursive,8,-0.00358770126004312,-0.21401449864527766,markov5,527,23322,shuffle_mono
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,11520,recursive,8,-0.00358770126004312,-0.21401449864527766,markov5,527,23322,shuffle_mono
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,11520,recursive,8,-0.00358770126004312,-0.21401449864527766,markov5,527,23322,shuffle_mono
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,11520,recursive,8,-0.00358770126004312,-0.21401449864527766,markov5,527,23322,shuffle_mono
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,11520,recursive,8,-0.00358770126004312,-0.21401449864527766,markov5,527,23322,shuffle_mono
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,11520,recursive,8,-0.00358770126004312,-0.21401449864527766,markov5,527,23322,shuffle_mono
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,shuffle_mono
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,shuffle_mono
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,shuffle_mono
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,shuffle_mono
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,shuffle_mono
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,14400,recursive,10,-0.00358770126004312,-0.21401449864527766,markov5,527,29082,shuffle_mono
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,shuffle_mono
median,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,shuffle_mono
max,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,shuffle_mono
min,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,shuffle_mono
nearest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,shuffle_mono
farthest,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,17280,recursive,12,-0.00358770126004312,-0.21401449864527766,markov5,527,34842,shuffle_mono
mean,0.3845355474831344,0.4426069295979557,0.3310812360293419,0.6641152049818371,20160,recursive,14,-0.00358770126004312,-0.21401449864527766,markov5,527,40602,shuffle_mono
