task,split,features,family,model,config,layer,pooling,selected,train_cv_auc,n_train,n_test,n_features,orient,C,auc_lo,auc_hi,auc,mcc,tpr@1,clustercov@1,missrun@1,tpr@10,clustercov@10,missrun@10
splice_sites_all,cluster,HyenaDNA-small-32k:L2_mean,model,HyenaDNA-small-32k,L2_mean,2,mean,,0.6873674728275105,8001,2977,256,rc,0.003,,,0.6907012317645211,0.24271567596589386,0.01787487586891758,0.02122347066167291,262,0.1727904667328699,0.20224719101123595,34
splice_sites_all,cluster,HyenaDNA-small-32k:L2_max,model,HyenaDNA-small-32k,L2_max,2,max,,0.6535444669032503,8001,2977,256,fwd,0.003,0.635762881673464,0.6678373325863923,0.6530397536743524,0.17475650162568276,0.011916583912611719,0.0149812734082397,407,0.141012909632572,0.17103620474406991,43
splice_sites_all,cluster,HyenaDNA-small-32k:L2_max,model,HyenaDNA-small-32k,L2_max,2,max,,0.6535444669032503,8001,2977,256,rc,0.003,,,0.6497574064056016,0.18087990294882733,0.014895729890764648,0.018726591760299626,194,0.14796425024826215,0.17852684144818975,31
splice_sites_all,cluster,HyenaDNA-small-32k:L2_last,model,HyenaDNA-small-32k,L2_last,2,last,,0.5821411063909142,8001,2977,256,fwd,0.003,0.5837873582422839,0.6138330928187754,0.5994106784563057,0.11763162471084963,0.016881827209533268,0.02122347066167291,172,0.1519364448857994,0.1797752808988764,43
splice_sites_all,cluster,HyenaDNA-small-32k:L2_last,model,HyenaDNA-small-32k,L2_last,2,last,,0.5821411063909142,8001,2977,256,rc,0.003,,,0.5891401017709476,0.11920336561601164,0.013902681231380337,0.017478152309612985,173,0.10923535253227408,0.132334581772784,60
splice_sites_all,cluster,HyenaDNA-small-32k:L3_mean,model,HyenaDNA-small-32k,L3_mean,3,mean,cv,0.6895776943817612,8001,2977,256,fwd,0.003,0.6888673278196005,0.7196350385019652,0.7042300312348638,0.2646966688816722,0.015888778550148957,0.019975031210986267,256,0.19960278053624628,0.22846441947565543,47
splice_sites_all,cluster,HyenaDNA-small-32k:L3_mean,model,HyenaDNA-small-32k,L3_mean,3,mean,cv,0.6895776943817612,8001,2977,256,rc,0.003,,,0.693238040146988,0.23007321718555052,0.027805362462760674,0.03495630461922597,168,0.1708043694141013,0.19600499375780275,25
splice_sites_all,cluster,HyenaDNA-small-32k:L3_max,model,HyenaDNA-small-32k,L3_max,3,max,,0.648653125351029,8001,2977,256,fwd,0.003,0.6363766792188025,0.6691840634457747,0.6537074694299202,0.19224616750595944,0.011916583912611719,0.0149812734082397,229,0.13803376365441908,0.15980024968789014,32
splice_sites_all,cluster,HyenaDNA-small-32k:L3_max,model,HyenaDNA-small-32k,L3_max,3,max,,0.648653125351029,8001,2977,256,rc,0.003,,,0.6476102134604058,0.17392048445246439,0.019860973187686197,0.024968789013732832,159,0.1211519364448858,0.14606741573033707,37
splice_sites_all,cluster,HyenaDNA-small-32k:L3_last,model,HyenaDNA-small-32k,L3_last,3,last,,0.5868338492709855,8001,2977,256,fwd,0.003,0.583068105594777,0.6142502688633246,0.5985369462939191,0.10724978242335421,0.010923535253227408,0.01373283395755306,208,0.12413108242303873,0.149812734082397,47
splice_sites_all,cluster,HyenaDNA-small-32k:L3_last,model,HyenaDNA-small-32k,L3_last,3,last,,0.5868338492709855,8001,2977,256,rc,0.003,,,0.591971120502767,0.10068266560616254,0.013902681231380337,0.017478152309612985,361,0.11717974180734857,0.13857677902621723,30
splice_sites_all,cluster,HyenaDNA-small-32k:L4_mean,model,HyenaDNA-small-32k,L4_mean,4,mean,default,0.6872360193284103,8001,2977,256,fwd,0.03,0.6850018121078386,0.7116274956832787,0.6980720554712073,0.25129354418497796,0.012909632571996028,0.016229712858926344,311,0.15888778550148958,0.18352059925093633,49
