task,split,family,entry,auc,auc_lo,auc_hi,auc_rc,mcc,tpr1,clustercov1,missrun1,tpr10,clustercov10,n_test
enhancers,shipped,model,HyenaDNA-small-32k train-CV config (L3_mean),0.7963241984877389,0.7774175906447128,0.8172458794154941,0.7653380878256973,0.4434644224069345,0.0371644872677219,0.0525231719876416,134,0.4150034411562285,0.490216271884655,2943
enhancers,shipped,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.793874280013118,0.7779213800085126,0.8143483615292817,0.7635117345736893,0.4489014817193371,0.0406056434962147,0.0576725025746652,114,0.3991741225051617,0.4727085478887745,2943
enhancers,shipped,model_oracle,HyenaDNA-small-32k best-of-9 ON TEST (L3_mean),0.7963241984877389,0.7774175906447128,0.8172458794154941,0.7653380878256973,0.4434644224069345,0.0371644872677219,0.0525231719876416,134,0.4150034411562285,0.490216271884655,2943
enhancers,cluster,trivial,best trivial: kmer5,0.7786386462226451,0.7624702742417575,0.7953899267014478,0.7514817911771635,0.408826769457977,0.0567423230974632,0.0623028391167192,76,0.3938584779706275,0.4305993690851735,2943
enhancers,cluster,trivial,trivial: onehot,0.7473286180882469,0.728895920291901,0.7634289996994593,0.5925898891717214,0.3734829452479095,0.0674232309746328,0.0796529968454258,72,0.3451268357810413,0.3738170347003154,2943
enhancers,cluster,trivial,trivial: kmer5,0.7786386462226451,0.7624702742417575,0.7953899267014478,0.7514817911771635,0.408826769457977,0.0567423230974632,0.0623028391167192,76,0.3938584779706275,0.4305993690851735,2943
enhancers,cluster,trivial,trivial: pwm,0.7097629596093523,0.6900375194076713,0.7273431626928272,0.6698268972239803,0.3027952968277745,0.0500667556742323,0.0583596214511041,83,0.2590120160213618,0.2744479495268139,2943
enhancers,cluster,model,NT-v2-50M train-CV config (L9_mean),0.8078610003649619,0.7912099542397674,0.8250076451021233,0.7744628362614975,0.468639395044245,0.0887850467289719,0.1009463722397476,58,0.4566088117489986,0.4913249211356467,2943
enhancers,cluster,model,"NT-v2-50M final layer, mean (L12_mean)",0.7948420269702163,0.7773488630572994,0.8118375920114169,0.7729443179140816,0.4468893493765112,0.0761014686248331,0.0867507886435331,63,0.4158878504672897,0.4526813880126183,2943
enhancers,cluster,model_oracle,NT-v2-50M best-of-9 ON TEST (L6_mean),0.8087221254637095,0.7923283171943329,0.8266137088184949,0.7880953150914021,0.4713581507527118,0.0867823765020026,0.0962145110410094,49,0.4379172229639519,0.4708201892744479,2943
enhancers,cluster,model,HyenaDNA-small-32k train-CV config (L3_mean),0.787475803955447,0.7702930589130171,0.8032801200888371,0.7712031266602297,0.4509674829392113,0.0807743658210947,0.0946372239747634,78,0.3898531375166889,0.416403785488959,2943
enhancers,cluster,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.7919916289770443,0.7760655374312219,0.8075049073949764,0.7715278964801973,0.4373737043968776,0.0767690253671562,0.0883280757097791,73,0.4065420560747663,0.4345425867507886,2943
enhancers,cluster,model_oracle,HyenaDNA-small-32k best-of-9 ON TEST (L4_mean),0.7919916289770443,0.7760655374312219,0.8075049073949764,0.7715278964801973,0.4373737043968776,0.0767690253671562,0.0883280757097791,73,0.4065420560747663,0.4345425867507886,2943
enhancers,random,trivial,best trivial: kmer5,0.792713936836816,0.7761519344148965,0.8092659137793126,0.7716010440989566,0.4366294557089232,0.0999320190346702,0.1012482662968099,56,0.4296397008837525,0.4320388349514563,2943
enhancers,random,trivial,trivial: onehot,0.7437094515709515,0.7246013652585082,0.7584965314984178,0.5970659193686637,0.3618757943428014,0.0666213460231135,0.0679611650485436,62,0.3392250169952413,0.3425797503467406,2943
enhancers,random,trivial,trivial: kmer5,0.792713936836816,0.7761519344148965,0.8092659137793126,0.7716010440989566,0.4366294557089232,0.0999320190346702,0.1012482662968099,56,0.4296397008837525,0.4320388349514563,2943
enhancers,random,trivial,trivial: pwm,0.7175303143380722,0.6980656528897243,0.7353009869860866,0.6776769352407412,0.306150337688056,0.0421481985044187,0.0429958391123439,97,0.2882392929979606,0.2912621359223301,2943
enhancers,random,model,NT-v2-50M train-CV config (L6_mean),0.8263755985280641,0.8095344816932134,0.8402246050597945,0.803854594626548,0.4977915422812047,0.1162474507138001,0.1185852981969486,57,0.4860639021074099,0.4909847434119279,2943
enhancers,random,model,"NT-v2-50M final layer, mean (L12_mean)",0.8104651893122101,0.7923657752856761,0.8257351345370713,0.797992621848491,0.4774041800904442,0.1019714479945615,0.1033287101248266,42,0.4541128484024473,0.4576976421636616,2943
enhancers,random,model_oracle,NT-v2-50M best-of-9 ON TEST (L6_mean),0.8263755985280641,0.8095344816932134,0.8402246050597945,0.803854594626548,0.4977915422812047,0.1162474507138001,0.1185852981969486,57,0.4860639021074099,0.4909847434119279,2943
enhancers,random,model,HyenaDNA-small-32k train-CV config (L4_mean),0.8125323279047083,0.7975193938240827,0.8279599607974298,0.7799707386279668,0.4841999674873644,0.0944935418082936,0.0957004160887656,70,0.4486743711760707,0.4528432732316227,2943
enhancers,random,model,"HyenaDNA-small-32k final layer, mean (L4_mean)",0.8125323279047083,0.7975193938240827,0.8279599607974298,0.7799707386279668,0.4841999674873644,0.0944935418082936,0.0957004160887656,70,0.4486743711760707,0.4528432732316227,2943
