assay,seed,scorer,naive_gate,forward_gate,naive_pass,forward_pass,yield,yield_with_audit,random_yield
AACC1_PSEAI_Dandage_2018,2,honest,0.6372093023255814,0.5789473684210527,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,2,adaptive_leak,0.7883720930232558,0.3421052631578947,True,False,0.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,2,pool_side,0.6372093023255814,0.5789473684210527,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,3,honest,0.7069767441860465,0.6631578947368422,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,3,adaptive_leak,0.5302325581395348,0.5263157894736842,False,False,0.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,3,pool_side,0.7069767441860465,0.6631578947368422,True,True,2.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,4,honest,0.7069767441860466,0.568421052631579,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,4,adaptive_leak,0.4,0.4,False,False,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,4,pool_side,0.7069767441860466,0.568421052631579,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,5,honest,0.813953488372093,0.6736842105263158,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,5,adaptive_leak,0.6465116279069767,0.5684210526315789,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,5,pool_side,0.813953488372093,0.6736842105263158,True,True,2.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,6,honest,0.7348837209302326,0.7473684210526316,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,6,adaptive_leak,0.7581395348837209,0.3052631578947369,True,False,2.0,2.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,6,pool_side,0.7348837209302326,0.7473684210526316,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,7,honest,0.772093023255814,0.8736842105263158,True,True,1.0,2.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,7,adaptive_leak,0.8,0.6421052631578947,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,7,pool_side,0.772093023255814,0.8736842105263158,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,8,honest,0.6930232558139535,0.7263157894736842,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,8,adaptive_leak,0.772093023255814,0.4736842105263158,True,False,2.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,8,pool_side,0.6930232558139535,0.7263157894736842,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,9,honest,0.6465116279069767,0.5684210526315789,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,9,adaptive_leak,0.9209302325581395,0.6631578947368421,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,9,pool_side,0.6465116279069767,0.5684210526315789,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,10,honest,0.5674418604651162,0.5894736842105264,True,True,1.0,2.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,10,adaptive_leak,0.9953488372093022,0.5263157894736842,True,False,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,10,pool_side,0.5674418604651162,0.5894736842105264,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,11,honest,0.7069767441860465,0.6421052631578947,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,11,adaptive_leak,0.5930232558139535,0.2368421052631579,True,False,2.0,2.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,11,pool_side,0.7069767441860465,0.6421052631578947,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,12,honest,0.4976744186046512,0.7263157894736842,False,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,12,adaptive_leak,0.8837209302325582,0.631578947368421,True,True,1.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,12,pool_side,0.4976744186046512,0.7263157894736842,False,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,13,honest,0.7255813953488373,0.6210526315789474,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,13,adaptive_leak,0.8465116279069768,0.8421052631578947,True,True,0.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,13,pool_side,0.7255813953488373,0.6210526315789474,True,True,1.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,14,honest,0.5302325581395348,0.6315789473684211,False,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,14,adaptive_leak,0.7162790697674419,0.4631578947368421,True,False,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,14,pool_side,0.5302325581395348,0.6315789473684211,False,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,15,honest,0.7023255813953488,0.7684210526315789,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,15,adaptive_leak,0.7488372093023256,0.35789473684210527,True,False,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,15,pool_side,0.7023255813953488,0.7684210526315789,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,16,honest,0.6558139534883721,0.5894736842105264,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,16,adaptive_leak,0.8558139534883721,0.6578947368421053,True,True,2.0,2.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,16,pool_side,0.6558139534883721,0.5894736842105264,True,True,1.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,17,honest,0.8372093023255813,0.6947368421052631,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,17,adaptive_leak,0.9348837209302325,0.5473684210526317,True,False,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,17,pool_side,0.8372093023255813,0.6947368421052631,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,18,honest,0.8651162790697675,0.6210526315789474,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,18,adaptive_leak,0.7953488372093024,0.2947368421052632,True,False,0.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,18,pool_side,0.8651162790697675,0.6210526315789474,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,19,honest,0.8232558139534883,0.7789473684210527,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,19,adaptive_leak,0.7372093023255815,0.7736842105263158,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,19,pool_side,0.8232558139534883,0.7789473684210527,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,20,honest,0.8976744186046511,0.6736842105263159,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,20,adaptive_leak,0.9348837209302325,0.9052631578947369,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,20,pool_side,0.8976744186046511,0.6736842105263159,True,True,0.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,21,honest,0.6651162790697674,0.8421052631578947,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,21,adaptive_leak,0.6744186046511629,0.4210526315789474,True,False,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,21,pool_side,0.6651162790697674,0.8421052631578947,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,22,honest,0.6837209302325582,0.7368421052631579,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,22,adaptive_leak,0.9534883720930233,0.7789473684210526,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,22,pool_side,0.6837209302325582,0.7368421052631579,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,23,honest,0.7209302325581395,0.6526315789473685,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,23,adaptive_leak,0.6883720930232559,0.6263157894736843,True,True,2.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,23,pool_side,0.7209302325581395,0.6526315789473685,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,24,honest,0.6372093023255814,0.6210526315789474,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,24,adaptive_leak,0.6232558139534884,0.4842105263157895,True,False,0.0,0.0,0.49286936679977184
