assay,n_obs,seed,own,supplied
AACC1_PSEAI_Dandage_2018,24,32,0.5137872819358469,0.5137872819358469
AACC1_PSEAI_Dandage_2018,24,33,2.513787281935847,0.5137872819358469
AACC1_PSEAI_Dandage_2018,24,34,0.5137872819358469,0.5137872819358469
AACC1_PSEAI_Dandage_2018,24,35,-0.48621271806415306,0.5137872819358469
AACC1_PSEAI_Dandage_2018,24,36,-0.45920090039392236,0.5407990996060776
AACC1_PSEAI_Dandage_2018,24,37,0.5407990996060776,0.5407990996060776
AACC1_PSEAI_Dandage_2018,24,38,-0.48621271806415306,0.5137872819358469
AACC1_PSEAI_Dandage_2018,24,39,-0.48621271806415306,0.5137872819358469
AACC1_PSEAI_Dandage_2018,48,0,-0.4654877353108956,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,1,1.507130633200228,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,2,-0.4654877353108956,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,3,-0.4654877353108956,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,4,1.507130633200228,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,5,-0.4654877353108956,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,6,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,7,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,8,3.5345122646891043,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,9,1.5345122646891043,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,10,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,11,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,12,-0.49286936679977184,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,13,-0.4654877353108956,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,14,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,15,-0.4654877353108956,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,16,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,17,1.5345122646891043,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,18,0.5345122646891044,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,19,-0.49286936679977184,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,20,-0.49286936679977184,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,21,-0.49286936679977184,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,22,1.507130633200228,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,23,-0.49286936679977184,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,24,1.507130633200228,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,25,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,26,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,27,0.5345122646891044,-0.4654877353108956
AACC1_PSEAI_Dandage_2018,48,28,0.5345122646891044,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,29,1.507130633200228,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,30,1.507130633200228,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,31,0.5618938961779806,0.5618938961779806
AACC1_PSEAI_Dandage_2018,48,32,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,33,1.5345122646891043,0.5345122646891044
AACC1_PSEAI_Dandage_2018,48,34,1.5618938961779807,0.5618938961779806
AACC1_PSEAI_Dandage_2018,48,35,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,36,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,37,1.507130633200228,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,38,0.5071306332002281,0.5071306332002281
AACC1_PSEAI_Dandage_2018,48,39,2.5071306332002283,0.5071306332002281
AACC1_PSEAI_Dandage_2018,96,0,1.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,1,0.5214076246334312,0.5214076246334312
AACC1_PSEAI_Dandage_2018,96,2,-0.5067448680351906,0.4932551319648094
AACC1_PSEAI_Dandage_2018,96,3,0.4932551319648094,0.4932551319648094
